"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vdac1",2.48716018970527e-15,0.614711957046623,0.139,0.033,4.33810480288393e-11
"Ak2",2.53216116376334e-15,0.611333752368801,0.109,0.018,4.41659550183602e-11
"Rpl27a",2.63684515080559e-15,0.759718049595102,0.168,0.051,4.59918531203512e-11
"Rps25-ps1",2.6385468467163e-15,-0.846970773556575,0.01,0.109,4.60215341004257e-11
"Inpp5k",2.66664805923286e-15,0.68310477037887,0.113,0.02,4.65116754491396e-11
"Lancl1",2.87350907381077e-15,0.695481635581196,0.102,0.015,5.01197452654075e-11
"Snx13",2.88733619146922e-15,0.833343412914333,0.136,0.032,5.03609178516062e-11
"Tgfbrap1",2.94201378899485e-15,0.66034200858294,0.115,0.021,5.13146045076481e-11
"Usp25",3.0127909271604e-15,0.614633706012505,0.115,0.021,5.25490993515316e-11
"Trafd1",3.48023319272699e-15,0.564329690622674,0.119,0.023,6.07022273475441e-11
"Numa1",3.48500204119745e-15,0.599873884827256,0.149,0.04,6.0785405602566e-11
"Secisbp2l",3.77424122415633e-15,0.409723487402142,0.152,0.04,6.58303154317348e-11
"Soat1",3.91678752150395e-15,0.483003473862629,0.132,0.029,6.83166079500718e-11
"Stam2",3.94550185787183e-15,0.673681323143786,0.103,0.016,6.88174434050004e-11
"Tyrobp",4.20264984441727e-15,-1.25027789619809,0.35,0.509,7.3302618586326e-11
"Cdc123",4.29462256012536e-15,0.433676004964165,0.119,0.023,7.49068066937065e-11
"Ifrd1",4.59349902905503e-15,0.775404313493588,0.107,0.018,8.01198100647778e-11
"U4atac",4.74704756846235e-15,-1.11204809771865,0.009,0.103,8.27980036891203e-11
"Jmjd6",4.87680683605398e-15,0.690018651764952,0.109,0.019,8.50612648344535e-11
"Zfp260",5.21158861789585e-15,0.605777053378713,0.103,0.016,9.09005286733394e-11
"Crat",5.33928663252208e-15,0.704571998291116,0.116,0.023,9.31278374444502e-11
"Vta1",5.36844911887613e-15,0.590982778160628,0.109,0.019,9.36364895314375e-11
"Dgkz",5.51673675421204e-15,0.670158396642137,0.105,0.017,9.62229224669664e-11
"Smarca5",5.59188331477331e-15,0.608599800497034,0.146,0.039,9.75336287762761e-11
"Rab43",5.64591570483815e-15,0.574135737843894,0.122,0.025,9.8476061723787e-11
"Tlr4",5.75012137004314e-15,0.555365445746084,0.116,0.022,1.00293616936292e-10
"St7l",5.8218192544663e-15,0.684985409154335,0.113,0.021,1.01544171436401e-10
"Tubb2a",5.83809548963927e-15,0.552637049698067,0.16,0.046,1.01828061530288e-10
"Pdhb",6.49621273881304e-15,0.641114363655426,0.1,0.015,1.13306942590377e-10
"Pom121",7.02380203497716e-15,0.662898943745918,0.102,0.016,1.22509155094072e-10
"Tgfb1",7.06256049268296e-15,0.467758350352242,0.258,0.11,1.23185180113376e-10
"Plekho1",7.38935161342894e-15,0.519397337852925,0.298,0.136,1.28885070841427e-10
"Tmsb10",7.75925956956447e-15,0.736727883552929,0.139,0.035,1.35337005412344e-10
"Mapkap1",9.19250204884538e-15,0.474677683864339,0.12,0.024,1.60335620735961e-10
"Pcf11",9.24203403175659e-15,0.593329538062464,0.109,0.019,1.61199557581898e-10
"Gnl3",9.51889644995184e-15,0.756316293752353,0.112,0.021,1.6602859188006e-10
"Akna",9.59934480534218e-15,0.780141413948656,0.125,0.028,1.67431772094778e-10
"Nuak1",1.00502962554202e-14,0.365662644522424,0.189,0.063,1.75297267287038e-10
"Atg16l1",1.08997685991075e-14,0.673463690841253,0.103,0.017,1.90113763905634e-10
