"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Cell_Type"
"Rps16",1.50100588577504e-13,-0.351874216079497,0.993,1,2.6575309207647e-09,"vEC"
"H2-T23",2.81974234603017e-06,-0.34169354064447,0.772,0.905,0.0499235382364641,"vEC"
"Rpl26",3.68733194053618e-11,-0.341449315551125,0.991,0.979,6.52842120071931e-07,"vEC"
"Rps3",1.1787375436185e-08,-0.336855083159217,0.971,0.979,0.0002086954820976,"vEC"
"Rpl17",2.85492629972077e-11,-0.330416459481115,0.987,0.996,5.05464701365562e-07,"vEC"
"Adgrl4",1.97391492887103e-09,0.329397820592418,0.995,0.979,3.49481638156616e-05,"vEC"
"Utrn",2.69024339925384e-09,0.326618901369113,0.984,0.954,4.76307593837893e-05,"vEC"
"Ly6a",3.71053487607907e-09,-0.319699810435231,0.999,0.996,6.569501998098e-05,"vEC"
"Rps13",2.35091085239785e-09,-0.314877880712301,0.967,0.972,4.16228766417039e-05,"vEC"
"Rpl13a",5.10945796272747e-09,-0.314479625965643,0.986,0.989,9.04629532300898e-05,"vEC"
"Rps6",1.71874867965225e-06,-0.308946979188494,0.955,0.968,0.0304304453732432,"vEC"
"Rpl11",1.01727493301922e-08,-0.308508393619989,0.986,0.968,0.000180108526891,"vEC"
"Rpl14",7.35554356581228e-09,-0.30310533166572,0.963,0.965,0.0001302298988327,"vEC"
"Srgn",1.47426101627133e-07,-0.300695625944378,0.971,0.972,0.0026101791293083,"vEC"
"Hmgb1",4.50999875533867e-07,0.29893408215605,0.982,0.961,0.0079849527963271,"vEC"
"Rpsa",5.78922817962454e-08,-0.294054928294197,0.966,0.958,0.0010249828492025,"vEC"
"Rpl28",9.56330244688736e-09,-0.293947904375409,0.978,0.986,0.0001693182698221,"vEC"
"Morf4l1",5.74888113357359e-07,0.28828770010405,0.954,0.926,0.010178394046992,"vEC"
"Rps10",3.59562686234783e-08,-0.286926391944315,0.988,0.982,0.0006366057359786,"vEC"
"Rpl21",1.54300567881001e-10,-0.286241739714674,0.995,0.986,2.73189155433313e-06,"vEC"
"Rpl32",1.11100350695864e-08,-0.285307656041744,0.991,0.982,0.000196703170907,"vEC"
"Son",1.02830824094734e-06,0.281454121219429,0.93,0.915,0.0182061974059727,"vEC"
"Rps12",9.7957300211409e-10,-0.280816236588119,0.996,0.982,1.734334000243e-05,"vEC"
"Rps18",6.12099779135764e-07,-0.280485601922491,0.984,0.979,0.0108372265895987,"vEC"
"Rpl18a",6.32121665163064e-07,-0.279406021631941,0.992,0.986,0.0111917140817121,"vEC"
"Rpl8",2.67382038041915e-09,-0.278094732887949,0.991,0.975,4.73399898353211e-05,"vEC"
"Rpl15",1.00384933812568e-07,-0.276608408549197,0.978,0.972,0.0017773152531515,"vEC"
"Sptbn1",3.63191853688548e-10,0.267078959251696,0.999,1,6.43031176955575e-06,"vEC"
"Rps14",3.22009509940422e-09,-0.266616830422946,0.997,0.989,5.70117837349517e-05,"vEC"
"Actb",4.27111887972236e-08,0.259695037439898,0.999,0.996,0.0007562015976548,"vEC"
"Rpl19",2.637360826183e-08,-0.256622891002537,0.995,0.982,0.0004669447342757,"vEC"
